gene,gene_ensembl_id,gene_full_name,baseMean,avg_log2FC,lfcSE,stat,p_val,p_val_adj,mean_counts_group1,mean_counts_group2,CHR,Significance
0610005C13Rik,ENSMUSG00000109644,RIKEN cDNA 0610005C13 gene,184.728128680177,-0.64969238196349199,0.228216756833799,-2.84682155235707,4.4158107749386697E-3,7.4551845721326407E-2,144.897367255921,224.558890104433,7,Not Significant
0610009E02Rik,ENSMUSG00000086714,RIKEN cDNA 0610009E02 gene,677.395198611985,-0.167016759185937,0.152536138762222,-1.0949323913744,0.27354625704239299,0.65761747954563698,637.628201799636,717.162195424334,2,Not Significant
0610009L18Rik,ENSMUSG00000043644,RIKEN cDNA 0610009L18 gene,431.03221460106,0.10716591208957001,0.161584569597866,0.663218724141001,0.50719048118598498,0.81967434153340601,446.788134226629,415.276294975491,11,Not Significant
0610010K14Rik,ENSMUSG00000020831,RIKEN cDNA 0610010K14 gene,423.446808559757,0.193335455986935,0.208607421526354,0.926790881035411,0.35403512048709701,0.72201474252897202,450.729317713825,396.164299405689,11,Not Significant
0610025J13Rik,ENSMUSG00000046683,RIKEN cDNA 0610025J13 gene,11.5039923038883,-0.596590863640304,0.77362858752207,-0.771159278835834,0.44061252762675901,,9.52004063715734,13.4879439706193,4,Not Significant
0610030E20Rik,ENSMUSG00000058706,RIKEN cDNA 0610030E20 gene,1454.48924141907,0.408168586467821,0.22817620350499,1.78883065016416,7.3642093165579098E-2,0.36604863147113897,1657.99074155881,1250.98774127932,6,Not Significant
0610038B21Rik,ENSMUSG00000097882,RIKEN cDNA 0610038B21 gene,74.3646760381274,-5.0820938947845798E-2,0.415690846886161,-0.12225657439545,0.90269582255174696,0.97722817181843302,72.9451400809904,75.7842119952645,8,Not Significant
0610040B10Rik,ENSMUSG00000089889,RIKEN cDNA 0610040B10 gene,302.924980911752,0.24238004470691399,0.253772960754754,0.955105870956636,0.339524160305883,0.71138891742420496,327.527018109603,278.3229437139,5,Not Significant
0610040F04Rik,ENSMUSG00000087341,RIKEN cDNA 0610040F04 gene,267.245619365002,-0.15675819070380501,0.193880094362863,-0.808531640233368,0.418784599360018,0.76704139256719495,252.073879286825,282.417359443179,6,Not Significant
0610040J01Rik,ENSMUSG00000060512,RIKEN cDNA 0610040J01 gene,722.066621803325,0.44729697543770602,0.307340637830455,1.45537856170019,0.14556448811077899,0.50720881569106202,833.650261991622,610.482981615028,5,Not Significant
0610043K17Rik,ENSMUSG00000087361,RIKEN cDNA 0610043K17 gene,2425.51534303143,-7.8448042161711598E-2,0.206547906786983,-0.37980555398519,0.70408975926890105,0.912996625644235,2360.03152980683,2490.99915625603,4,Not Significant
0710001A04Rik,ENSMUSG00000114511,RIKEN cDNA 0710001A04 gene,83.8032974181273,-1.48368268646433,0.349371950129916,-4.24671381292235,2.16928760322699e-05,1.94845793098621E-3,45.0726453683208,122.533949467934,18,Significantly Down
1010001B22Rik,ENSMUSG00000097863,RIKEN cDNA 1010001B22 gene,35.4797929770128,4.6566253020064001E-2,0.37816018570056,0.123138962748809,0.90199705823508303,0.97717559660104003,36.0275981027442,34.9319878512814,5,Not Significant
1110002J07Rik,ENSMUSG00000097134,RIKEN cDNA 1110002J07 gene,100.72737140611,-1.52734006499813E-3,0.238612946116036,-0.00640091030205624,0.99489284736967598,0.99913642158337201,101.156128595441,100.298614216779,10,Not Significant
1110002L01Rik,ENSMUSG00000071456,RIKEN cDNA 1110002L01 gene,1262.74536377435,-7.7333831308213599E-2,0.148153038167692,-0.521986131804335,0.60167998647770204,0.86765214182707795,1230.3496982187,1295.14102932999,12,Not Significant
1110002O04Rik,ENSMUSG00000102531,RIKEN cDNA 1110002O04 gene,41.8611990624108,-8.52419126580162E-2,0.39602519857065,-0.215243658650194,0.82957735386909903,0.95700890417803297,40.4776778558493,43.2447202689724,1,Not Significant
1110004F10Rik,ENSMUSG00000030663,RIKEN cDNA 1110004F10 gene,2969.89830965329,0.17603376376886701,0.162209949359579,1.0852217417234,0.277823456944297,0.66047179642647902,3150.19656031007,2789.60005899652,7,Not Significant
1110006O24Rik,ENSMUSG00000107121,RIKEN cDNA 1110006O24 gene,27.942817560652,0.44036592171369099,0.465664484443407,0.945672123224183,0.34431584523787301,0.71525539881817402,32.0409453618287,23.8446897594753,5,Not Significant
1110013H19Rik,,1110013H19Rik,23.4287267734527,0.27039650230874901,0.445116960194766,0.607472926195475,0.54353710458357796,0.83786950431065899,25.6102350036644,21.247218543241,15,Not Significant
1110015O18Rik,ENSMUSG00000098659,RIKEN cDNA 1110015O18 gene,247.496189314786,0.50648696854459696,0.211848469067343,2.39079834173167,1.6811784026761801E-2,0.164853129699885,289.797051539737,205.195327089835,3,Not Significant
1110018N20Rik,ENSMUSG00000085151,RIKEN cDNA 1110018N20 gene,297.694828315912,-7.0545194713853995E-2,0.194859491071336,-0.362031093923099,0.71732879465909605,0.91810652997235898,290.349959668479,305.039696963344,2,Not Significant
1110019D14Rik,ENSMUSG00000097616,RIKEN cDNA 1110019D14 gene,1696.84489206794,0.24739835159693899,0.133288191796911,1.8561160464529,6.3437019018454499E-2,0.339109034841799,1840.95035607067,1552.73942806522,6,Not Significant
1110020A21Rik,ENSMUSG00000097047,RIKEN cDNA 1110020A21 gene,139.760018252396,3.59001295469282E-2,0.204245609720152,0.175769406236525,0.86047510568492303,0.967711774091504,141.494846629665,138.025189875128,17,Not Significant
1110032F04Rik,ENSMUSG00000046999,RIKEN cDNA 1110032F04 gene,14.1389707940877,-0.56259282930102505,0.647811461822029,-0.868451490065769,0.38514721758739501,,11.3708652694666,16.9070763187088,3,Not Significant
1110035H17Rik,ENSMUSG00000099098,RIKEN cDNA 1110035H17 gene,98.2326340576582,-6.8942555344373199E-2,0.333373400971239,-0.206802807733065,0.83616386329978898,0.95808218947615598,95.457132731566,101.00813538375,7,Not Significant
1110038B12Rik,ENSMUSG00000092203,RIKEN cDNA 1110038B12 gene,388.641750055057,0.146147901336248,0.148856669907647,0.981802840456664,0.32619698854943102,0.70162673337924597,407.654880086691,369.628620023424,17,Not Significant
1110038F14Rik,ENSMUSG00000063236,RIKEN cDNA 1110038F14 gene,1432.83830035441,3.3558053827972001E-2,0.177706605683981,0.188839653420925,0.85021849200089505,0.96319929745758104,1449.17148515468,1416.50511555415,15,Not Significant
1110046J04Rik,ENSMUSG00000085457,RIKEN cDNA 1110046J04 gene,1526.52022947099,-0.16785326913438001,0.178578193234547,-0.939942700136513,0.34724695300910702,0.71702614659182895,1438.34667548112,1614.69378346086,13,Not Significant
